PostId,UserRep,UserAnswers,PostDay,PostMonth,PostWeekday,PostHour,JoinDay,JoinMonth,JoinWeekday,JoinHour,TitleChars,BodyChars,BodyLines,NumTags,Codish,UserAge,Status
11873618,14,1,8,8,3,22,9,7,1,1,31,393,4,2,0,30,
11874662,1184,50,8,8,3,23,10,11,4,23,53,1137,25,1,5,272,
11874681,514,0,8,8,3,23,14,8,7,1,77,1093,28,3,17,360,
11874684,461,14,8,8,3,23,6,4,3,0,33,651,18,3,18,490,
11874689,2281,63,8,8,3,23,5,2,5,2,62,461,4,3,19,915,
11803716,582,18,3,8,5,22,7,6,7,23,49,322,2,4,0,1152,
11803717,1,0,3,8,5,22,23,7,1,19,32,408,15,3,13,11,
11803718,13,4,3,8,5,22,12,9,1,17,47,1588,30,5,23,326,
11803719,50,1,3,8,5,22,13,4,5,20,80,1125,30,3,37,112,
11791546,375,23,3,8,5,8,7,7,3,14,47,384,12,3,14,757,
11803706,123,10,3,8,5,22,30,12,4,18,55,2060,19,5,10,582,
11803721,652,31,3,8,5,22,19,6,5,18,74,822,15,1,12,1141,
11803722,699,16,3,8,5,22,16,3,1,12,44,818,21,2,30,1236,
11803723,81,1,3,8,5,22,28,3,3,15,35,596,8,2,0,128,
11803012,11,0,3,8,5,21,4,6,1,16,16,2163,16,5,25,60,
11863435,1,0,8,8,3,11,4,8,6,16,60,2530,70,5,64,3,
11863448,43,0,8,8,3,11,18,7,7,1,50,324,4,4,2,752,
11863450,187,17,8,8,3,11,19,8,4,14,42,543,12,2,4,719,
11863454,640,28,8,8,3,11,23,11,2,13,56,482,9,2,2,623,
11863457,88,1,8,8,3,11,27,7,5,6,37,569,14,3,6,12,
11863459,72,2,8,8,3,11,22,3,2,16,51,1233,6,3,6,504,
11863460,363,13,8,8,3,11,14,7,4,19,66,1765,32,3,97,390,
11809098,12,1,4,8,6,14,11,7,3,20,28,6661,207,5,281,23,
11809099,747,50,4,8,6,14,14,9,3,8,41,1121,42,2,48,325,
11809105,1,0,4,8,6,14,24,7,2,4,45,40,0,2,0,11,
11809106,1,0,4,8,6,14,4,8,6,13,42,337,6,3,2,0,
11809111,23,0,4,8,6,14,5,6,2,9,33,680,21,3,16,60,
11809093,3987,431,4,8,6,14,25,8,2,13,39,815,4,3,0,1075,
11809116,194,0,4,8,6,14,7,12,3,2,45,748,14,1,17,241,
11808971,6,0,4,8,6,13,21,7,6,15,104,854,12,3,6,13,
11898559,113,1,10,8,5,9,24,11,4,13,46,353,5,4,4,259,
11898473,1,0,10,8,5,9,10,8,5,9,46,1000,21,3,16,0,
11898459,39,1,10,8,5,9,8,10,5,9,32,672,14,3,4,672,
11898566,156,2,10,8,5,9,15,7,7,20,26,791,14,2,12,25,
11898574,62,1,10,8,5,9,4,6,1,12,28,776,6,2,8,66,
11898576,58,7,10,8,5,9,22,3,4,13,43,6491,102,1,254,140,
11898578,2222,115,10,8,5,9,30,10,6,19,81,535,20,1,3,649,
11898579,689,27,10,8,5,9,16,7,4,14,54,1736,30,3,50,1120,
11803726,16,1,3,8,5,22,31,7,2,20,57,985,3,2,2,3,
11803727,1,0,3,8,5,22,3,8,5,22,73,2915,72,5,90,0,
11803732,142,1,3,8,5,22,11,8,4,22,36,430,0,3,5,357,
11803738,5,1,3,8,5,22,15,5,2,18,51,809,31,3,8,80,
11803744,1,0,3,8,5,22,2,8,4,23,40,3677,76,2,10,0,
11803745,1,0,3,8,5,22,30,7,1,5,37,155,0,3,0,4,
11809124,101,0,4,8,6,14,2,3,5,1,40,1362,22,4,38,155,
11809130,44,1,4,8,6,14,16,8,1,17,41,2209,57,2,62,718,
11809133,1,0,4,8,6,14,22,7,7,14,30,972,14,3,18,12,
11809135,207,7,4,8,6,14,29,7,4,21,30,620,12,2,11,736,
11809126,21,0,4,8,6,14,3,11,4,18,39,729,19,2,6,274,
11809129,1576,49,4,8,6,14,19,1,2,11,69,517,8,2,0,928,
11808978,2130,105,4,8,6,13,17,6,3,7,51,1118,13,5,48,1144,
11809142,3,0,4,8,6,14,20,7,5,14,51,1000,20,1,34,14,
11863416,638,39,8,8,3,11,20,11,5,9,37,186,2,4,2,992,
11863469,1,0,8,8,3,11,8,8,3,11,58,594,4,2,10,0,
11863476,204,4,8,8,3,11,15,1,7,9,39,1572,33,5,31,206,
11863477,296,6,8,8,3,11,26,1,4,9,34,3687,89,3,108,195,
11863483,196,15,8,8,3,11,9,7,5,14,100,1254,38,3,20,760,
11863485,493,19,8,8,3,11,1,10,5,12,53,425,5,4,2,676,
11863488,55,3,8,8,3,11,11,2,6,18,51,2060,55,2,86,178,
11809151,137,16,4,8,6,14,13,12,1,4,85,879,9,1,0,600,
11809153,34,2,4,8,6,14,30,11,2,9,53,72,0,2,0,613,
11809157,20,2,4,8,6,14,17,1,1,9,57,761,19,5,20,565,
11809158,182,18,4,8,6,14,9,8,2,9,21,690,19,4,36,361,
11809149,1431,17,4,8,6,14,6,8,5,15,59,348,4,1,0,728,
11809162,3,0,4,8,6,14,27,7,5,7,63,1041,18,5,0,8,
11809163,1413,47,4,8,6,14,2,8,1,22,44,263,5,4,6,732,
11809166,1,0,4,8,6,14,4,8,6,13,45,2554,90,3,80,0,
11809170,3412,55,4,8,6,14,7,3,1,12,83,3645,76,5,124,516,
11809176,13,11,4,8,6,14,5,1,4,14,15,869,24,2,21,211,
11809177,88,4,4,8,6,14,8,8,1,10,51,272,4,4,0,362,
11803749,65,1,3,8,5,22,26,7,4,2,23,3311,86,2,161,8,
11803751,265,6,3,8,5,22,4,4,3,16,58,408,9,3,16,121,
11803752,8,1,3,8,5,22,18,6,1,18,29,236,8,4,2,46,
11803754,210,9,3,8,5,22,19,1,4,19,44,3044,96,5,128,197,
11803755,29420,1016,3,8,5,22,22,9,1,12,37,763,20,3,18,1411,
11803757,40,0,3,8,5,22,20,11,7,12,33,105,0,2,0,257,
11803758,13,1,3,8,5,22,14,5,1,22,27,202,1,1,0,80,
11803710,19,0,3,8,5,22,21,7,6,16,53,1445,13,4,2,13,
11803712,3,1,3,8,5,22,31,7,2,19,37,475,6,4,0,3,
11803648,3,0,3,8,5,22,20,8,6,19,34,855,20,4,32,349,
11802646,96,7,3,8,5,20,27,6,1,10,56,1798,28,2,45,403,
11916276,2453,29,11,8,6,18,29,12,2,17,39,664,15,3,22,956,
11916277,85,4,11,8,6,18,10,11,4,13,48,8655,200,4,287,275,
11916282,3,0,11,8,6,18,10,8,5,17,103,1000,30,2,20,1,
11809087,182,18,4,8,6,14,9,8,2,9,29,193,7,3,0,361,
11809090,287,2,4,8,6,14,27,12,1,13,93,830,8,5,1,586,
11809181,71,1,4,8,6,14,7,11,1,11,61,1480,33,5,57,271,
11808703,2,0,4,8,6,13,15,7,7,18,35,420,6,1,0,19,
11809185,1,0,4,8,6,14,28,7,6,20,65,1177,20,4,33,6,
11809188,114,5,4,8,6,14,3,2,4,17,47,779,22,2,0,547,
11898589,1,0,10,8,5,9,10,8,5,9,55,318,3,1,0,0,
11898590,8,0,10,8,5,9,26,7,4,8,74,580,6,3,0,15,
11898592,800,2,10,8,5,9,9,8,2,23,43,389,10,5,23,366,
11898596,392,6,10,8,5,9,20,11,4,17,76,2879,18,5,10,1358,
11898597,16,2,10,8,5,9,11,1,2,14,62,560,5,3,8,576,
11898598,1,0,10,8,5,9,10,8,5,9,31,489,6,3,0,0,
11898605,1,0,10,8,5,9,18,7,3,9,46,580,10,4,8,23,
11898614,9,0,10,8,5,9,12,1,4,8,35,380,2,5,8,211,
11898616,52,1,10,8,5,9,9,3,5,15,37,4719,94,2,134,153,
11863491,6,0,8,8,3,11,8,8,3,8,67,1565,39,4,62,0,
11863496,10,0,8,8,3,11,30,5,3,11,57,1387,14,2,19,70,
11863498,3011,62,8,8,3,11,5,11,3,4,51,624,11,2,16,1372,
11863499,20,6,8,8,3,11,24,8,3,5,55,783,20,4,23,350,
11863502,162,4,8,8,3,11,8,10,6,11,53,1018,8,2,0,305,
11863503,8,1,8,8,3,11,28,6,4,14,19,301,12,2,12,40,
11863474,1,0,8,8,3,11,8,8,3,11,92,606,30,1,36,0,
11863475,6,0,8,8,3,11,5,10,3,13,52,215,7,2,1,307,
11863504,1,0,8,8,3,11,8,8,3,11,70,2707,60,5,85,0,
11809140,9,2,4,8,6,14,28,7,4,16,32,457,4,4,0,372,
11809141,3090,229,4,8,6,14,21,12,2,12,68,1475,23,5,47,592,
11809189,69,2,4,8,6,14,22,11,1,21,73,1053,30,3,28,620,
11809190,14,0,4,8,6,14,16,7,1,15,24,101,0,4,0,18,
11809191,48,3,4,8,6,14,23,3,5,10,51,432,10,4,0,134,
11809192,62,0,1,8,3,17,18,11,4,15,23,573,10,1,4,622,
11809195,26,1,4,8,6,14,6,8,6,16,35,2398,46,2,62,363,
11809204,47,8,4,8,6,14,10,9,6,17,21,307,6,3,2,328,
11809205,15,0,4,8,6,14,15,5,2,2,39,622,13,2,35,81,
11803767,106,5,3,8,5,22,15,5,6,10,71,1526,39,2,39,811,
11803760,643,27,3,8,5,22,24,11,2,9,85,1079,29,4,20,983,
11803774,1,0,3,8,5,22,3,8,5,22,37,664,14,1,35,0,
11803782,33,5,3,8,5,22,10,6,4,4,40,355,7,1,0,785,
11803784,1313,96,3,8,5,22,4,1,1,2,43,1096,23,3,44,942,
11803785,1,0,3,8,5,22,3,8,5,21,40,2477,88,5,107,0,
11803789,1975,16,3,8,5,22,17,9,3,1,144,270,0,2,0,1416,
11803791,282,6,3,8,5,22,26,1,4,9,40,2482,91,4,118,190,
11803793,21,2,3,8,5,22,12,1,4,4,50,1809,55,5,30,204,
11863509,11,0,8,8,3,11,14,5,1,12,27,3234,104,1,171,85,
11863510,8,0,8,8,3,11,15,6,5,9,66,307,7,3,2,54,
11863512,1774,126,8,8,3,11,3,12,4,15,56,508,4,3,2,978,
11863093,1104,17,8,8,3,11,7,9,1,16,44,686,7,2,0,1065,
11863092,1,0,8,8,3,11,8,8,3,10,82,7877,232,5,407,0,
11863516,1296,22,8,8,3,11,23,8,7,23,34,407,2,2,0,1080,
11863518,2236,246,8,8,3,11,24,7,7,21,52,369,6,3,2,380,
11863519,17,0,8,8,3,11,22,11,2,16,21,629,10,5,8,259,
11863493,59,2,8,8,3,11,22,3,4,10,41,1121,19,4,20,139,
11862468,1448,5,8,8,3,10,24,9,6,18,64,708,19,2,9,318,
11809206,1229,52,4,8,6,14,5,2,6,2,37,1917,55,5,119,546,
11809207,177,15,4,8,6,14,14,7,6,17,25,359,5,1,0,20,
11809219,1343,33,4,8,6,14,22,7,3,23,71,222,2,3,0,1108,
11809220,1197,15,4,8,6,14,23,11,2,0,49,1745,52,5,19,619,
11809225,304,10,4,8,6,14,28,1,5,5,41,267,2,2,5,554,
11809226,25,3,4,8,6,14,3,2,5,7,34,2770,94,4,160,183,
11863524,430,7,8,8,3,11,12,1,4,10,17,154,2,2,0,209,
11863527,56,3,8,8,3,11,13,6,3,2,58,1618,30,2,42,56,
11863114,1,0,8,8,3,11,8,8,3,11,28,418,13,5,16,0,
11863115,69,1,8,8,3,11,11,11,4,6,67,155,1,1,0,636,
11856966,727,28,8,8,3,3,5,4,2,9,73,385,2,4,4,490,
11856969,92,5,8,8,3,3,11,11,5,1,23,211,10,5,4,271,
11856970,10,0,8,8,3,3,6,7,5,7,44,116,2,1,0,32,
11863528,6,0,8,8,3,11,14,7,6,22,43,709,24,3,24,24,
11863530,286,1,8,8,3,11,22,9,4,9,43,5406,92,4,189,321,
11863536,1,0,8,8,3,11,8,8,3,11,50,2554,81,3,44,0,
11863537,937,38,8,8,3,11,15,3,1,16,47,221,5,4,0,876,
11863544,1,0,8,8,3,11,8,8,3,11,48,94,0,2,0,0,
11863545,30,2,8,8,3,11,15,11,2,15,50,242,2,2,0,266,
11863547,2828,25,8,8,3,11,2,9,3,8,77,184,5,2,0,1071,
11898622,809,41,10,8,5,9,3,3,4,16,58,738,26,5,60,525,
11898608,1,0,10,8,5,9,10,8,5,9,54,907,12,3,21,0,
11898611,10,0,10,8,5,9,1,4,7,7,57,507,1,2,0,131,
11898627,410,9,10,8,5,9,10,12,4,10,32,912,11,3,0,973,
11898629,6,1,10,8,5,9,29,4,7,9,40,392,2,3,2,102,
11898631,1,0,10,8,5,9,10,8,5,9,44,3931,80,4,101,0,
11898560,68,5,10,8,5,9,28,6,4,11,31,1416,40,3,69,42,
11898561,58,1,10,8,5,9,6,9,2,16,61,605,8,1,4,338,
11898562,11,1,10,8,5,9,9,8,4,10,49,333,11,1,10,0,
11898532,138,5,10,8,5,9,22,8,6,7,65,225,6,1,4,1084,
11898533,1852,45,10,8,5,9,22,9,1,5,45,1315,26,5,18,1418,
11898634,86,7,10,8,5,9,2,9,5,8,33,1948,18,2,56,343,
11898635,43,1,10,8,5,9,17,3,4,10,54,807,16,3,0,511,
11863540,150,1,8,8,3,11,17,5,2,9,60,341,4,4,0,449,
11863552,3,0,8,8,3,11,18,2,6,10,55,566,13,1,4,172,
11863556,384,4,8,8,3,11,13,1,4,17,60,382,4,3,4,572,
11863557,1495,5,8,8,3,11,4,3,4,14,29,252,2,2,0,887,
11863562,110,0,8,8,3,12,10,4,2,21,42,202,5,3,0,119,
11863566,76,4,8,8,3,12,12,10,3,11,42,1266,23,3,31,301,
11863568,4857,80,8,8,3,12,30,9,3,12,57,1228,38,3,29,1042,
11863570,1,0,8,8,3,12,18,7,3,9,124,1291,22,3,28,21,
11863571,1,0,8,8,3,12,6,8,1,12,34,2333,107,5,137,1,
11863573,1,0,8,8,3,12,8,8,3,9,40,170,0,1,0,0,
11863337,8,0,8,8,3,11,23,12,5,6,55,1088,15,1,6,229,
11863575,31,0,8,8,3,12,12,6,2,15,58,491,12,3,8,56,
11863576,904,19,8,8,3,12,31,1,1,5,53,722,5,5,19,555,
11863578,1,0,8,8,3,12,8,8,3,11,30,401,12,2,5,0,
11809231,1,0,4,8,6,14,14,4,6,9,36,825,10,4,6,112,
11809233,206,8,4,8,6,14,22,3,2,0,74,1453,22,5,35,500,
11809240,1,0,4,8,6,14,4,8,6,14,90,920,10,3,4,0,
11809241,1,0,4,8,6,14,3,8,5,23,51,149,0,1,0,0,
11809242,1,0,4,8,6,14,4,8,6,14,45,949,4,3,0,0,
11809243,120,5,4,8,6,14,13,4,5,21,35,507,12,4,21,112,
11809246,59,1,4,8,6,14,1,10,6,17,32,964,24,2,6,307,
11809251,1,0,4,8,6,14,28,7,6,9,39,1648,25,5,95,7,
11898569,1,0,10,8,5,9,10,8,5,9,32,352,12,1,0,0,
11898637,114,1,10,8,5,9,13,7,1,7,30,546,11,2,10,1124,
11898647,928,36,10,8,5,9,6,5,4,14,78,3389,72,4,45,826,
11898648,366,29,10,8,5,9,17,11,4,9,50,427,6,3,1,266,
11898651,47,2,10,8,5,9,25,7,1,7,71,743,26,1,26,382,
11898411,55,0,10,8,5,9,23,11,3,15,44,1682,22,2,34,260,
11927273,19,1,13,8,1,2,29,5,2,2,37,720,20,4,17,75,
11921332,5,0,12,8,7,10,5,1,4,19,34,446,25,1,27,219,
11927269,1,0,13,8,1,2,19,3,1,18,38,588,6,4,2,146,
11927277,513,28,13,8,1,2,18,8,4,19,27,1966,59,3,91,360,
11927278,758,21,13,8,1,2,5,12,7,21,34,1594,31,4,25,616,
11927279,1,0,13,8,1,2,12,8,7,15,58,3317,76,3,194,0,
11927142,10,0,13,8,1,1,5,8,7,1,43,872,20,1,38,8,
11927283,17,2,13,8,1,2,26,7,4,6,58,1026,23,3,29,17,
11927286,1,0,13,8,1,2,5,7,4,3,60,1220,30,1,65,38,
11927294,3738,138,13,8,1,2,9,10,5,18,26,2786,28,1,49,1038,
11927123,501,10,13,8,1,1,2,4,1,18,37,1641,39,5,101,132,
11927297,1,0,13,8,1,2,20,7,5,14,41,203,1,3,2,23,
11927298,29,0,13,8,1,2,12,5,4,20,56,1075,33,4,42,458,
11927307,1,0,13,8,1,2,4,8,4,2,37,257,10,4,0,374,
11927309,1184,42,13,8,1,2,11,10,7,20,85,1718,22,4,46,1036,
11927310,1,0,13,8,1,2,11,8,6,2,30,169,0,4,0,1,
11927311,10281,268,13,8,1,2,26,6,5,2,58,2060,34,5,24,1143,
11927314,1,0,13,8,1,2,18,3,7,11,20,1116,30,3,57,147,
11927315,168,5,13,8,1,2,26,1,4,6,29,434,7,1,19,199,
11925725,470,16,12,8,7,21,21,11,6,19,48,786,14,2,2,995,
11925726,6326,208,12,8,7,21,7,10,3,12,22,538,15,4,10,1040,
11927316,1323,8,13,8,1,2,16,3,3,20,45,1864,44,3,92,515,
11927288,1,0,13,8,1,2,12,8,7,16,29,409,10,2,5,0,
11927319,1,0,13,8,1,2,13,8,1,1,58,1090,27,2,5,0,
11927321,1,0,13,8,1,2,17,11,4,4,45,886,11,1,41,269,
11927324,149,1,13,8,1,2,12,7,4,17,89,485,0,3,2,31,
11927325,7,0,13,8,1,2,10,7,2,8,63,270,0,3,0,33,
11927326,176,0,13,8,1,2,11,5,3,2,65,230,2,2,4,460,
11927336,310,7,13,8,1,2,5,1,4,2,74,842,21,2,18,220,
11927338,1,0,13,8,1,2,13,8,1,2,31,694,5,3,4,0,
11927339,3587,42,13,8,1,2,13,10,1,4,82,1651,10,4,4,1399,
11927343,60,1,13,8,1,2,14,9,3,14,40,1157,42,2,65,333,
11809263,1,0,4,8,6,14,25,2,6,22,72,753,13,3,2,160,
11809264,10,0,4,8,6,14,4,4,3,11,82,801,30,4,26,122,
11809265,514,15,4,8,6,14,14,8,5,15,41,621,15,2,8,1085,
11809266,1,0,4,8,6,14,4,8,6,14,37,1566,12,5,4,0,
11809267,427,12,4,8,6,14,25,9,7,12,53,602,2,1,0,314,
11809268,1,0,4,8,6,14,4,8,6,14,65,920,8,3,15,0,
11809270,5,0,4,8,6,14,22,7,7,8,125,3559,74,3,131,13,
11927347,77,1,13,8,1,2,5,8,7,6,44,252,0,4,2,7,
11927351,460,10,13,8,1,2,3,12,6,6,60,3302,90,4,163,253,
11927357,94,8,13,8,1,2,24,12,6,19,59,1740,18,3,38,232,
11927359,18,0,13,8,1,2,9,7,1,0,48,8001,234,3,416,35,
11927360,1,0,13,8,1,2,13,8,1,2,62,523,8,1,0,0,
11927327,137,3,13,8,1,2,31,1,2,16,49,1348,18,4,22,194,
11898657,1083,1,10,8,5,9,7,8,7,17,62,483,15,4,19,368,
11898536,37,0,10,8,5,9,3,2,5,6,49,694,12,3,29,189,
11898537,38,4,10,8,5,9,20,3,2,7,25,149,2,1,2,143,
11898538,23,0,10,8,5,9,16,4,1,7,44,496,20,5,0,116,
11898663,99,0,10,8,5,9,4,5,5,11,103,1223,34,5,18,97,
11898672,8,0,10,8,5,9,30,7,1,9,35,217,1,2,4,10,
11898673,1,0,10,8,5,9,25,6,1,12,51,514,6,4,6,45,
11898674,6,0,10,8,5,9,19,7,4,10,37,5085,117,1,267,21,
11898678,366,29,10,8,5,9,17,11,4,9,59,352,5,4,2,266,
11863580,1,0,8,8,3,12,8,8,3,11,39,932,22,3,14,0,
11863581,3,0,8,8,3,12,19,7,4,15,22,608,16,1,20,19,
11863582,1,0,8,8,3,12,4,4,3,12,84,223,2,1,0,125,
11861926,74,0,8,8,3,10,4,3,7,18,47,147,1,2,4,156,
11861927,14,0,8,8,3,10,7,6,4,9,81,884,15,3,41,62,
11861928,65,1,8,8,3,10,3,6,5,7,69,480,0,2,0,432,
11863590,265,24,8,8,3,12,20,7,5,10,31,1527,59,4,55,19,
11863595,1,0,8,8,3,12,24,7,2,17,63,2258,73,4,118,14,
11939774,315,7,13,8,1,18,5,1,4,2,39,1203,29,3,74,221,
11939779,9,0,13,8,1,18,3,6,7,5,47,2159,52,4,89,71,
11939780,4430,229,13,8,1,18,2,3,2,21,37,1823,88,3,115,894,
11924355,164,14,12,8,7,18,27,10,3,6,36,391,9,4,0,655,
11924358,1425,55,12,8,7,18,12,6,7,4,18,413,5,3,10,427,
11939498,8,0,13,8,1,18,10,4,2,21,39,479,2,2,2,124,
11939776,756,43,13,8,1,18,26,5,4,20,64,1404,28,4,14,444,
11927362,11,0,13,8,1,2,7,2,2,21,66,456,10,4,15,187,
11926305,9,1,12,8,7,22,11,4,3,19,53,225,4,2,11,123,
11926306,558,6,12,8,7,22,13,12,7,19,33,856,12,5,1,973,
11927369,3112,120,13,8,1,2,17,11,1,2,95,1345,25,3,1,1364,
11927373,320,25,13,8,1,2,15,1,7,22,44,5898,208,4,334,210,
11927376,114,11,13,8,1,2,3,11,4,1,53,348,9,5,6,284,
11927380,1,0,13,8,1,2,13,8,1,2,100,1035,12,4,8,0,
11809272,2548,156,4,8,6,14,20,6,3,9,46,1321,39,4,28,45,
11809276,14,3,4,8,6,14,12,3,1,12,53,2654,74,3,107,145,
11809277,2021,125,4,8,6,14,11,2,5,8,49,840,24,4,13,540,
11809282,490,22,4,8,6,14,22,3,4,10,41,401,9,1,4,135,
11809283,38,3,4,8,6,14,4,1,2,17,86,158,0,3,0,577,
11809285,2565,160,4,8,6,14,12,8,4,12,49,546,10,4,4,723,
11809287,1,0,4,8,6,14,11,4,3,11,54,1794,36,5,71,115,
11809288,231,0,4,8,6,14,8,4,7,18,30,764,18,1,36,117,
11809289,1,0,4,8,6,14,3,8,5,16,32,482,7,2,14,0,
11809290,173,15,4,8,6,14,28,2,2,21,98,2493,70,3,94,157,
11803795,1,0,3,8,5,22,1,8,3,19,33,1616,30,3,13,2,
11803797,16,1,3,8,5,22,27,1,5,7,65,2261,36,2,77,189,
11803798,156,0,3,8,5,22,10,7,2,17,32,230,5,1,2,24,
11803800,14,0,3,8,5,22,16,7,1,15,40,406,17,3,15,18,
11803802,82,5,3,8,5,22,15,1,6,20,55,270,0,2,0,566,
11803810,6,0,3,8,5,22,2,1,7,0,32,591,4,1,1,578,
11803814,188,8,3,8,5,22,19,6,2,16,94,1026,14,5,20,45,
11803815,33,1,3,8,5,22,1,4,7,23,24,1068,30,3,33,123,
11927384,507,21,13,8,1,2,21,10,3,2,48,275,2,1,2,1027,
11927331,19474,610,13,8,1,2,31,1,7,18,28,482,0,4,2,924,
11766543,1,0,1,8,3,20,1,8,3,20,50,280,6,3,2,0,
11927388,158,6,13,8,1,2,20,1,5,10,68,518,4,3,8,205,
11927372,1,0,13,8,1,2,13,8,1,0,65,970,19,3,19,0,
11927391,3,0,13,8,1,2,2,8,4,5,27,780,18,5,2,10,
11863600,41,2,8,8,3,12,2,12,5,16,51,1103,21,3,36,249,
11863602,1,0,8,8,3,12,8,8,3,11,43,1509,13,3,36,0,
11863606,1,0,8,8,3,12,7,7,4,14,59,5458,159,2,226,397,
11863607,1,0,8,8,3,12,4,5,5,7,41,788,19,2,23,96,
11863563,130,7,8,8,3,12,21,11,1,16,46,903,18,4,0,260,
11863565,311,29,8,8,3,12,31,1,2,10,54,559,12,1,15,190,
11863404,1,0,8,8,3,11,8,8,3,11,62,241,3,3,0,0,
11863612,52,5,8,8,3,12,2,4,1,13,39,238,2,1,2,127,
11863613,432,26,8,8,3,12,9,7,6,16,45,1657,54,2,39,395,
11809294,30,0,4,8,6,14,20,1,4,12,82,119,0,2,0,562,
